Dealership,VDP_URL_1,Main_Photo,Make,Year_Model_Trim,Stock,Description,LeasePrice,DueAtSigning,LeaseTerm,disclaimer_1,PurchaseType,Luxury_Subject_Line,Luxury_Preheader,Lifestyle_Subject_Line,Lifestyle_Preheader,Hero_Disclaimer,Lifestyle_Body_Title,Lifestyle_Body,Hero_Image
Audi Bellingham,https://www.audibellingham.com/new/Audi/2025-Audi-Q5--797d2964ac1854fa8cd72883c5e55f55.htm,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUS02_01_640/cc_2025AUS021937827_01_640_H1H1.png,Audi,2025 Q5 Premium TFSI Quattro,2053579,"Plus Tax, Title, License",599,4999,36,"*2025 Q5 Premium TFSI Quattro*:  *Available only to qualified customers through Audi Financial Services at Audi Bellingham through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $51085 with a net capitalized cost of $43607. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $21564. Cash due at signing is $4999, which includes your first payment of $599. $895 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $5498. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $23058. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $495 vehicle turn-in fee. Purchase option at lease end for $27585 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # 2053579.",Lease,,,,,"*2024 Q4 E-Tron Prestige 55 Quattro: Available only to qualified customers through Audi Financial Services at Audi Bellingham through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $66340 with a net capitalized cost of $46071. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $16164. Cash due at signing is $1499, which includes your first payment of $449. $895 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $7409. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $17508. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $495 vehicle turn-in fee. Purchase option at lease end for $39140 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details.Inventory is current at time of media release. Offer applies to Stock # P050479.",,,
Audi Bellingham,https://www.audibellingham.com/new/Audi/2025-Audi-Q5-e--e7cf5af1ac182188e495088db5003af3.htm,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUS08_01_640/cc_2025AUS081941273_01_640_6Y6Y.png,Audi,2025 Q5e S Line Premium 55 Quattro,2006673N,"Plus Tax, Title, License",599,6499,36,"*2025 Q5e S Line Premium 55 Quattro*:  *Available only to qualified customers through Audi Financial Services at Audi Bellingham through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $62800 with a net capitalized cost of $46187. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $21564. Cash due at signing is $6499, which includes your first payment of $599. $895 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $13683. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $23058. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $495 vehicle turn-in fee. Purchase option at lease end for $32028 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details.Inventory is current at time of media release. Offer applies to Stock # 2006673N.",Lease,,,,,"*2024 Q4 E-Tron Prestige 55 Quattro: Available only to qualified customers through Audi Financial Services at Audi Bellingham through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $66340 with a net capitalized cost of $46071. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $16164. Cash due at signing is $1499, which includes your first payment of $449. $895 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $7409. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $17508. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $495 vehicle turn-in fee. Purchase option at lease end for $39140 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details.Inventory is current at time of media release. Offer applies to Stock # P050479.",,,
Audi Bellingham,https://www.audibellingham.com/new-inventory/index.htm?promotionId=6840923736b0683813e1430d&year=2025&make=Audi&model=All-new%20A5,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUC43_01_640/cc_2025AUC431959073_01_640_Z9Z9.png,Audi,2025 All-New A5,"WAU2BCFU8SN030736, WAU2BCFU7SN046930, WAU2BCFU0SN048096  ","Plus Tax, Title, License",699,5893,36,"*2025 Audi All-new A5 quattro Premium Plus Special Lease*:  **Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi All-new A5 quattro Premium Plus on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Monthly lease payment based on MSRP of $55,690 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $49,809. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,299, and acquisition fee of $895. Monthly payments total $25,181. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",Lease,,,,,"*2024 Q4 E-Tron Prestige 55 Quattro: Available only to qualified customers through Audi Financial Services at Audi Bellingham through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $66340 with a net capitalized cost of $46071. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $16164. Cash due at signing is $1499, which includes your first payment of $449. $895 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $7409. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $17508. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $495 vehicle turn-in fee. Purchase option at lease end for $39140 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details.Inventory is current at time of media release. Offer applies to Stock # P050479.",,,
,,,,,,,,,,,,,,,,,,,
Volkswagen Bellingham (MANUAL BUILD),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Audi Oakland,https://www.audioakland.com/new-inventory/index.htm?model=All-new%20A5&promotionId=68407c3336b0683813e0ceeb&year=2025,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUC43_01_640/cc_2025AUC431959073_01_640_Z9Z9.png,Audi,2025 All-new A5,27 Vehicles Available,"Plus Tax, Title, License",679,4299,36,"*2025 Audi All-new A5 quattro Premium Plus: Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi All-new A5 quattro Premium Plus on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $55,690 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $49,989. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,299, and acquisition fee of $895. Monthly payments total $24,459. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",Lease,,,,,"*2025 Audi Q6 e-tron 50 RWD Premium: Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi Q6 e-tron 50 RWD Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $69,065 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $54,190. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,999, and acquisition fee of $895. Monthly payments total $17,978. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",,,
Audi Oakland,https://www.audioakland.com/new-inventory/index.htm?make=Audi&model=All-new%20Q5&promotionId=68407c3436b0683813e0ceef&year=2025&accountId=audioakland2560websterstaoa,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUS18_01_640/cc_2025AUS181960842_01_640_0E0E.png,Audi,2025 All-new Q5,"WA11AAGU8S2040991, WA11AAGU2S2040825","Plus Tax, Title, License",699,4405,36,"*2025 Audi All-new Q5 quattro Premium: Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi All-new Q5 quattro Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $57,140 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $50,703. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,405, and acquisition fee of $895. Monthly payments total $25,165. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc. ",Lease,,,,,"*2025 Audi Q6 e-tron 50 RWD Premium: Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi Q6 e-tron 50 RWD Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $69,065 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $54,190. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,999, and acquisition fee of $895. Monthly payments total $17,978. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",,,
,,,,,,,,,,,,,,,,,,,
Audi Palo Alto,https://www.audipaloalto.com/new-inventory/index.htm?make=Audi&model=Q6%20e-tron&promotionId=684079e21a483c7a97630d37&year=2025&accountId=audipaloaltocaaoa,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUS16_01_640/cc_2025AUS161930232_01_640_0E0E.png,Audi,2025 Q6 e-tron,7 Vehicles Available,"Plus Tax, Title, License",499,"4,999",36,"*2025 Audi Q6 e-tron 50 RWD Premium: Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi Q6 e-tron 50 RWD Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $69,065 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $54,190. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,999, and acquisition fee of $895. Monthly payments total $17,978. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",Lease,,,,,"*2025 Audi Q3: *Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi Q3 S line 45 TFSI quattro Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $43,140 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $36,468. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $3,999, and acquisition fee of $895. Monthly payments total $16,897. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",,,
Audi Palo Alto,https://www.audipaloalto.com/new-inventory/index.htm?make=Audi&model=All-new%20Q5&promotionId=684079df1a483c7a97630d24&year=2025&accountId=audipaloaltocaaoa,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025AUS18_01_640/cc_2025AUS181960843_01_640_2D2D.png,Audi,2025 All-new Q5,12 Vehicles Available,"Plus Tax, Title, License",699,4405,36,"*2025 Audi All-new Q5 quattro Premium: *Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi All-new Q5 quattro Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $57,140 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $50,703. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $4,405, and acquisition fee of $895. Monthly payments total $25,165. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc. ",Lease,,,,,"*2025 Audi Q3: *Closed-end lease financing available through June 30, 2025 for a new, unused 2025 Audi Q3 S line 45 TFSI quattro Premium on approved credit to highly qualified customers by Audi Financial Services through participating dealerships. Lease offer only eligible to customers residing in CA. Monthly lease payment based on MSRP of $43,140 and destination charges less a suggested dealer contribution resulting in a capitalized cost of $36,468. Excludes tax, title, license, options, and dealer fees. Amount due at signing includes first month’s payment, customer down payment of $3,999, and acquisition fee of $895. Monthly payments total $16,897. Your payment will vary based on final negotiated price. At lease end, lessee responsible for disposition fee of $495, $0.25/mile in excess of 30,000 miles and excessive wear and use. A $395 fee applies if you purchase your lease vehicle. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1-800-FOR-AUDI. ©2025 Audi of America, Inc.",,,
