Dealership,dealership_logo_url,dealership_footer_url,dealership_footer_alt,dealership_footer_phone,dealership_footer_text,new_inventory_footer_url,used_inventory_footer_url,service_footer_url,gubagoo_footer_url,instagram_footer_url,facebook_footer_url,showroom_footer_hours,service_footer_hours,Footer-address,New_Specials_url,Last_Chance_Url
Swickard Anchorage,https://enfoilk.stripocdn.email/content/guids/CABINET_6b107c80d0945bc89d1d062ad9e4a25cc7c40ea5956b0a69a5614980efe9723f/images/gmc_swickard_anchorage_1_b.png,https://www.swickardanchorage.com/,Swickard Anchorage,19072799641,1-907-279-9641,https://www.swickardanchorage.com/searchnew.aspx,https://www.swickardanchorage.com/used/,https://www.swickardanchorage.com/schedule-service,https://gubagoo.io/live-chat/136673?toolbar_id=1,https://www.instagram.com/swickardanchorage/,https://www.facebook.com/swickardanchorage/#,"Monday - Saturday 8:00AM - 8:00PM
<br>
Sunday - 11:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 4:30PM
<br>
Sunday - Closed","1300 E 5th Ave., Anchorage, AK 99501
",https://www.swickardanchorage.com/newspecials.html,https://www.swickardanchorage.com/last-chance-specials.html
Swickard GMC Palmer,https://enfoilk.stripocdn.email/content/guids/CABINET_644792465dd744beb5aa28bf4a13268e7ac2635de7293bcd9c9631b570e2e46f/images/gmc_swickard_palmer_1_b_DIi.jpg,https://www.swickardpalmer.com/,Swickard GMC Palmer,19077614400,1-907-761-4400,https://www.swickardpalmer.com/searchnew.aspx,https://www.swickardpalmer.com/searchused.aspx,https://www.swickardpalmer.com/schedule-service,https://gubagoo.io/live-chat/136676?toolbar_id=1,https://www.instagram.com/swickardpalmer/,https://www.facebook.com/swickardpalmer,"Monday - Saturday 8:00AM - 7:00PM
<br>
Sunday - 11:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 5:00PM
<br>
Sunday - Closed","6275 E Blue Lupin Dr., Palmer, AK 99645
",https://www.swickardpalmer.com/newspecials.html,https://www.swickardpalmer.com/last-chance-specials.html
Cadillac Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_025eb94d587187c5f7b39627cf09fc8d3f1c7681bfd98f998b437106a0e8b431/images/cadillac_of_thousand_oaks_b_1_y1Q.png,https://www.cadillacthousandoaks.com/,Cadillac Thousand Oaks,18056912842,1-805-691-2842,https://www.cadillacthousandoaks.com/searchnew.aspx,https://www.cadillacthousandoaks.com/searchused.aspx?Dealership=Swickard%20Cadillac%20of%20Thousand%20Oaks,https://www.cadillacthousandoaks.com/service-scheduler.html,https://gubagoo.io/live-chat/136685?toolbar_id=1,https://www.instagram.com/cadillacofthousandoaks/,https://www.facebook.com/CadillacThousandOaks/,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 4:00PM
<br>
Sunday - Closed","3601 Auto Mall Dr., Thousand Oaks, CA 91362

",https://www.cadillacthousandoaks.com/newspecials.html,https://www.cadillacthousandoaks.com/last-chance-specials.html
Swickard Buick GMC of Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_fff22e30fcefb36bd4a9ba849bd910260218244a223c223356aa40bf208ea905/images/swickard_thousand_oaks_buick_gmc_b_2_Ay9.png,https://www.swickardbuickgmcthousandoaks.com/,"Buick, GMC Thousand Oaks",18056912325,1-805-691-2325,https://www.swickardbuickgmcthousandoaks.com/searchnew.aspx,https://www.swickardbuickgmcthousandoaks.com/searchused.aspx?Dealership=Swickard%20Buick%20GMC%20of%20Thousand%20Oaks,https://www.swickardbuickgmcthousandoaks.com/schedule-service.html,https://gubagoo.io/live-chat/136688?toolbar_id=1,https://www.instagram.com/buickgmcofthousandoaks/,https://www.facebook.com/BuickGMCofThousandOaks,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 4:00PM
<br>
Sunday - Closed","3601 Auto Mall Dr., Thousand Oaks, CA 91362

",https://www.swickardbuickgmcthousandoaks.com/newspecials.html,https://www.swickardbuickgmcthousandoaks.com/managers-pre-owned-specials.html
Chevrolet Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_0738cac971eaf567f2e262cd8b4a1908e2462f83f25ac67988f3f878a16c61e0/images/chevrolet_thousand_oaks_1_b.png,https://www.swickardchevrolet.com/,Chevrolet Thousand Oaks,18053507490,1-805-350-7490,https://www.swickardchevrolet.com/searchnew.aspx,https://www.swickardchevrolet.com/searchused.aspx?Dealership=Swickard%20Chevrolet%20of%20Thousand%20Oaks,https://www.swickardchevrolet.com/service-scheduler.html,https://gubagoo.io/live-chat/136682?toolbar_id=1,https://www.instagram.com/chevroletofthousandoaks/,https://www.facebook.com/ChevroletThousandOaks,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - Closed
<br>
Sunday - Closed","3440 Thousand Oaks BLVD., Thousand Oaks, CA 91362

",https://www.swickardchevrolet.com/newspecials.html,https://www.swickardchevrolet.com/last-chance-specials.html
Swickard Honda Gladstone,https://enfoilk.stripocdn.email/content/guids/CABINET_4a1d2b865c512ed53b5c21c566d15ff261a17473a0b639003e77a8ee616e6345/images/swickard_honda_white_oy5.png,https://www.swickardhonda.com/,Swickard Honda Gladstone,15037225000,1-503-722-5000,https://www.swickardhonda.com/searchnew.aspx,https://www.swickardhonda.com/searchused.aspx?Dealership=Swickard%20Honda,https://www.swickardhonda.com/schedule-service,https://gubagoo.io/live-chat/116749?toolbar_id=1,https://www.instagram.com/swickardhonda/,https://www.facebook.com/swickardhonda/,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 5:00PM
<br>
Sunday - Closed","19400 SE McLoughlin Blvd., Gladstone, OR 97027

",https://www.swickardhonda.com/newspecials.html,https://www.swickardhonda.com/last-chance-specials.html
Swickard Honda Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_08a6aebf46848a4e8771a0fc2166f41337c0074f351148e2c3332d6cd71d6a0b/images/swickard_honda_of_thousand_oaks_logo_white_1_tu0.png,https://www.hondaofthousandoaks.com/,Swickard Honda Thousand Oaks,18053715500,1-805-371-5500,https://www.hondaofthousandoaks.com/searchnew.aspx,https://www.hondaofthousandoaks.com/searchused.aspx?Dealership=Swickard%20Honda%20Thousand%20Oaks,https://www.hondaofthousandoaks.com/schedule-service.html,https://gubagoo.io/live-chat/136709?toolbar_id=1,https://www.instagram.com/hondaofthousandoaks/,https://www.facebook.com/HondaThousandOaks,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:30AM - 6:00PM
<br>
Saturday - 7:30AM - 4:00PM
<br>
Sunday - Closed","3925 Auto Mall Dr., Thousand Oaks, CA 91362

",https://www.hondaofthousandoaks.com/newspecials.html,https://www.hondaofthousandoaks.com/searchused.aspx
Land Rover San Francisco,https://enfoilk.stripocdn.email/content/guids/CABINET_083630d765956ff46413fcb14ec5405294864c3f30ff39a4b41967528e1995eb/images/lr_sf_w_2_pEl.png,https://www.landroversanfrancisco.com/,Land Rover San Francisco,14157767700,1-415-776-7700,https://www.landroversanfrancisco.com/new-inventory/index.htm?accountId=landroversanfranciscocalr,https://www.landroversanfrancisco.com/used-inventory/index.htm?accountId=landroversanfranciscocalr,https://www.landroversanfrancisco.com/service-appointments.htm,https://gubagoo.io/live-chat/127390?toolbar_id=3,https://www.instagram.com/landroversanfrancisco/,https://www.facebook.com/LandRoverSanFrancisco?_cl=5LSlWvvMbvPOPy9bBrTjMD42,"Monday - Saturday 9:00AM - 7:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:30AM - 6:00PM
<br>
Saturday - 9:00AM - 2:00PM
<br>
Sunday - Closed","901 Van Ness Ave., San Francisco, CA 94109
",https://www.landroversanfrancisco.com/promotions/new/index.htm,https://www.landroversanfrancisco.com/last-chance-specials.htm
Land Rover Redwood City,https://enfoilk.stripocdn.email/content/guids/CABINET_6f46db6040dce738e3814036ce74d38d33bb84a9b3b49f255de208a05d9dcea4/images/land_rover_redwood_city_2_w_ivM.png,https://www.landroverrc.com/,Land Rover Redwood City,16505694777,1-650-569-4777,https://www.landroverrc.com/new-inventory/index.htm?accountId=landroverredwoodcitycallr,https://www.landroverrc.com/used-inventory/index.htm?accountId=landroverredwoodcitycallr,https://www.landroverrc.com/service-appointments.htm,https://gubagoo.io/live-chat/127393?toolbar_id=2,https://www.instagram.com/landrover.redwoodcity/,https://www.facebook.com/landroverrc/,"Monday - Saturday 9:00AM - 6:00PM
<br>
Sunday - 10:00AM - 6:00PM","Monday - Friday 7:30AM - 5:30PM
<br>
Saturday - Closed
<br>
Sunday - Closed","440 Convention Wy., Redwood City, CA 94063
",https://www.landroverrc.com/promotions/new/index.htm,https://www.landroverrc.com/last-chance-specials.htm
Land Rover Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_68bfe8013843fa13f1d19245e52335d8a56d254564ab9dec2ed1090f0aa8d52d/images/land_rover_thousand_oaks_w_2_tVR.png,https://www.landroverthousandoaks.com/,Land Rover Thousand Oaks,18054097802,1-805-409-7802,https://www.landroverthousandoaks.com/new-inventory/index.htm,https://www.landroverthousandoaks.com/used-inventory/index.htm?accountId=landroverthousandoakslr,https://www.landroverthousandoaks.com/service-scheduler.htm,https://gubagoo.io/live-chat/136721?toolbar_id=1,https://www.instagram.com/landroverofthousandoaks/,https://www.facebook.com/landroverofthousandoaks/,"Monday - Saturday 9:00 AM - 8:00 PM
<br>
Sunday - 10:00 AM - 7:00 PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 9:00AM - 4:00PM
<br>
Sunday - Closed","3595 Auto Mall Dr., Thousand Oaks, CA 91362
",https://www.landroverthousandoaks.com/promotions/new/index.htm,https://www.landroverthousandoaks.com/last-chance-specials.htm
Lexus of Fremont,https://enfoilk.stripocdn.email/content/guids/CABINET_75d39f243493f4b2b86da479e7ae705b16ec7da482ecd8cf12c9a101895b83aa/images/lexus_of_fremont_white_2_tVk.png,https://www.lexusfremont.com/,Lexus of Fremont,15106576600,1-510-657-6600,https://www.lexusfremont.com/searchnew.aspx?Dealership=Lexus%20of%20Fremont,https://www.lexusfremont.com/searchused.aspx?Dealership=Lexus%20of%20Fremont,https://www.lexusfremont.com/schedule-service.html,https://gubagoo.io/live-chat/136697?toolbar_id=1,https://www.instagram.com/lexusfremont/,https://www.facebook.com/LexusFremont/,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 11:00AM - 6:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday -7:00AM - 5:00PM
<br>
Sunday - Closed","5600 Cushing Pkwy, Fremont, CA 94538

",https://www.lexusfremont.com/newspecials.html,https://www.lexusfremont.com/last-chance-specials.html
Lexus of Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_3cf5a23322edca8d27c561a748a56fbfbffda42d044ee7ea10e9b2ea513b3725/images/lexus_thousand_oaks_w_1_1.png,https://www.lexusofthousandoaks.com/,Lexus of Thousand Oaks,18052673400,1-805-267-3400,https://www.lexusofthousandoaks.com/searchnew.aspx,https://www.lexusofthousandoaks.com/searchused.aspx?Dealership=Lexus%20of%20Thousand%20Oaks,https://www.lexusofthousandoaks.com/schedule-service.html,https://gubagoo.io/live-chat/136724?toolbar_id=1,https://www.instagram.com/lexusofthousandoaks/,https://www.facebook.com/LexusThousandOaks,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday -7:30AM - 4:00PM
<br>
Sunday - Closed","3755 Auto Mall Dr., Thousand Oaks, CA 91362

",https://www.lexusofthousandoaks.com/newspecials.html,https://www.lexusofthousandoaks.com/last-chance-specials.html
Mercedes-Benz of Anchorage,https://enfoilk.stripocdn.email/content/guids/CABINET_bc1706ed32e4b1b9c88c7428b002ff17a29cc0adaf34defc2c5d6b4f4a1a4327/images/mercedesbenz_of_anchorage_w_oXd.jpg,https://www.mbofanchorage.com/,Mercedes-Benz of Anchorage,19072657560,1-907-265-7560,https://www.mbofanchorage.com/searchnew.aspx,https://www.mbofanchorage.com/searchused.aspx,https://www.mbofanchorage.com/schedule-service,https://gubagoo.io/live-chat/120919?toolbar_id=1,https://www.instagram.com/mercedesbenzanchorage/,https://www.facebook.com/MBanchorage/,"Monday - Friday 8:00AM - 7:00PM
<br>
Saturday 9:00AM - 8:00AM
<br>
Sunday - 10:00AM - 5:00PM","Monday - Friday 8:00AM - 6:00PM
<br>
Saturday -8:00AM - 4:00PM
<br>
Sunday - Closed","1000 E 6th Ave., Anchorage, AK, 99501
",https://www.mbofanchorage.com/newspecials.html,https://www.mbofanchorage.com/last-chance-specials.html
Mercedes-Benz of Seattle,https://enfoilk.stripocdn.email/content/guids/CABINET_1e0c5c98f8ff05a95ed1f5f784a89ac68afa9dca0e264f0090f437bc6cd7c892/images/image_Jws.jpeg,https://www.mbseattle.com/,Mercedes-Benz of Seattle,12064679999,1-206-467-9999,https://www.mbseattle.com/searchnew.aspx?Dealership=Mercedes-Benz%20of%20Seattle,https://www.mbseattle.com/searchused.aspx?Dealership=Mercedes-Benz%20of%20Seattle,https://www.mbseattle.com/service.aspx,https://gubagoo.io/live-chat/116773?toolbar_id=1,https://www.instagram.com/mercedesbenz.seattle/,https://www.facebook.com/mbseattle/,"Monday - Saturday 9:00AM - 8:00PM
<br>
Sunday - 10:00AM - 6:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday -8:00AM - 6:00PM
<br>
Sunday - Closed","2025 Airport Way South, Seattle, WA 98134
",https://www.mbseattle.com/next-to-new-specials.html,https://www.mbseattle.com/last-chance-specials.html
Mercedes-Benz of Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_bc7a9292c4f48fee0d367fdd609261946014d8d12ce94eef43ba1634161a731b/images/mercedes_benz_of_thousand_oaks_w_x0i.jpg,https://www.mbzthousandoaks.com/,Mercedes-Benz of Thousand Oaks,18053715400,1-805-371-5400,https://www.mbzthousandoaks.com/searchnew.aspx,https://www.mbzthousandoaks.com/searchused.aspx?Dealership=Mercedes-Benz%20of%20Thousand%20Oaks,https://www.mbzthousandoaks.com/schedule-service.html,https://gubagoo.io/live-chat/136715?toolbar_id=1,https://www.instagram.com/mercedesbenzofthousandoaks/,https://www.facebook.com/MercedesBenzThousandOaks,Monday - Sunday 9:00AM - 8:00PM,"Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 2:00PM
<br>
Sunday - Closed","3905 Auto Mall Dr., Thousand Oaks, CA 91362
",https://www.mbzthousandoaks.com/next-to-new-specials.html,https://www.mbzthousandoaks.com/last-chance-specials.html
Mercedes-Benz of Wilsonville,https://enfoilk.stripocdn.email/content/guids/CABINET_0dac83016d13c8bba0d180d50ae7af42dde17a4a897f73a001c2fea8e3985091/images/image.jpeg,https://www.mercedesbenzwilsonville.com/,Mercedes-Benz of Wilsonville,15034545000,1-503-454-5000,https://www.mercedesbenzwilsonville.com/searchnew.aspx?Dealership=Mercedes-Benz%20of%20Wilsonville,https://www.mercedesbenzwilsonville.com/searchused.aspx?Dealership=Mercedes-Benz%20of%20Wilsonville,https://www.mercedesbenzwilsonville.com/schedule-service,https://gubagoo.io/live-chat/116767?toolbar_id=1,https://www.instagram.com/mercedesbenzwilsonville/,https://www.facebook.com/MercedesBenzWilsonville,"Monday - Saturday 9:00AM - 8:00PM
<br>

Sunday 10:00AM - 6:00PM","Monday - Friday 7:00AM - 7:00PM
<br>
Saturday - 8:00AM - 5:00PM
<br>
Sunday - Closed","25035 SW Parkway Ave. Wilsonville, OR 97070
",https://www.mercedesbenzwilsonville.com/next-to-new-specials.html,https://www.mercedesbenzwilsonville.com/last-chance-specials.html
Mercedes-Benz of Marin,https://enfoilk.stripocdn.email/content/guids/CABINET_8dac8d131030644527484fce15adaa0f8a98d5986da066cb1b6874dc3cda73e8/images/mercedes_benz_of_marin_w.jpg,https://www.mbofmarin.com/,Mercedes-Benz of Marin,14154540582,1-415-454-0582,https://www.mbofmarin.com/searchnew.aspx?Dealership=Mercedes-Benz%20of%20Marin,https://www.mbofmarin.com/searchused.aspx,https://www.mbofmarin.com/schedule-service,https://gubagoo.io/live-chat/128971?toolbar_id=1,https://www.instagram.com/mbofmarin/,https://www.facebook.com/mercedesbenzofmarin/,"Monday - Saturday 9:00AM - 6:00PM
<br>
Sunday 10:00AM - 5:00PM","Monday - Friday 7:30AM - 5:30PM
<br>
Saturday - 8:00AM - 4:00PM
<br>
Sunday - Closed","540 Francisco Blvd. W, San Rafael, CA 94901
",https://www.mbofmarin.com/next-to-new-specials.html,https://www.mbofmarin.com/last-chance-specials.html
Mercedes-Benz of Honolulu,https://enfoilk.stripocdn.email/content/guids/CABINET_1f7a4371c6041a03982459c62b50668f1903929f1cf1b7ad4b520aa97d120fb5/images/mercedes_benz_of_honolulu_EYW.jpg,https://www.mercedesbenzofhonolulu.com/,MB Honolulu,18085923922,1-808-592-3922,https://www.mercedesbenzofhonolulu.com/searchnew.aspx,https://www.mercedesbenzofhonolulu.com/searchused.aspx?Dealership=Mercedes-Benz%20of%20Honolulu,https://www.mercedesbenzofhonolulu.com/schedule-service.html,https://gubagoo.io/live-chat/138798?toolbar_id=1,https://www.instagram.com/mercedesbenzofhonolulu/,https://www.facebook.com/mbofhonolulu/,"Monday - Friday 9:00AM - 6:00PM
<br>
Sunday 10:00AM - 5:00PM","Monday - Friday 7:00AM - 5:00PM
<br>
Saturday - 8:00AM - 2:00PM
<br>
Sunday - Closed","818 Kapiolani BLVD, Honolulu, HI 96813
",https://www.mercedesbenzofhonolulu.com/next-to-new-specials.html,https://www.mercedesbenzofhonolulu.com/last-chance-specials.html
